epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.49701,0.93477,2.66562,1.15689,0.00333,1,0.25628,0.20268,0.53442,2.64782,0.71666,0.000327778,0.000327778,0.06755
2,11.3533,0.68695,2.13884,1.03398,0.88468,0.57254,0.82057,0.65556,0.74511,2.012,0.79521,0.000658929,0.000658929,0.0345478
3,16.1039,0.67616,1.32847,1.01067,0.89421,0.92537,0.96822,0.76111,0.74842,1.79398,0.82708,0.000987881,0.000987881,0.00154344
4,20.8318,0.63033,0.98139,0.96734,0.93516,0.98507,0.98301,0.76866,0.83752,1.16267,0.80323,0.0009901,0.0009901,0.0009901
5,25.6067,0.56691,0.85285,0.95193,0.95297,0.99254,0.99243,0.81042,0.76747,1.05891,0.77539,0.0009868,0.0009868,0.0009868
6,30.3325,0.57489,0.80091,0.94093,0.96931,1,0.99449,0.80802,0.73685,1.02362,0.7536,0.0009835,0.0009835,0.0009835
7,35.052,0.53121,0.75712,0.92857,0.97767,1,0.99448,0.85664,0.61024,0.96753,0.72383,0.0009802,0.0009802,0.0009802
8,39.8233,0.535,0.72705,0.9319,0.9865,1,0.995,0.85572,0.60259,0.9151,0.7376,0.0009769,0.0009769,0.0009769
9,44.5964,0.51348,0.71268,0.92794,0.98528,0.99919,0.99478,0.87729,0.56719,0.85003,0.71059,0.0009736,0.0009736,0.0009736
10,49.4304,0.5148,0.68426,0.9207,0.9915,1,0.99485,0.88598,0.52621,0.81522,0.69876,0.0009703,0.0009703,0.0009703
11,54.1786,0.4906,0.65722,0.91903,0.99834,1,0.995,0.91006,0.4445,0.7547,0.68285,0.000967,0.000967,0.000967
12,58.9425,0.48373,0.62983,0.91827,0.99873,1,0.995,0.91094,0.44184,0.69807,0.68295,0.0009637,0.0009637,0.0009637
13,63.6967,0.46874,0.62312,0.9236,0.99835,1,0.995,0.91359,0.43204,0.68528,0.67689,0.0009604,0.0009604,0.0009604
14,68.4385,0.45914,0.60669,0.90678,0.99866,1,0.995,0.9283,0.39656,0.65141,0.67298,0.0009571,0.0009571,0.0009571
15,73.2089,0.46693,0.60581,0.91341,0.99907,1,0.995,0.92181,0.40267,0.63682,0.67184,0.0009538,0.0009538,0.0009538
16,77.9355,0.48523,0.60589,0.91098,0.99914,1,0.995,0.89155,0.49212,0.64633,0.68202,0.0009505,0.0009505,0.0009505
17,82.6705,0.43663,0.56531,0.89956,0.99911,1,0.995,0.93209,0.37932,0.61377,0.66591,0.0009472,0.0009472,0.0009472
18,87.4663,0.45981,0.55611,0.90674,0.99932,1,0.995,0.92741,0.38112,0.59597,0.67122,0.0009439,0.0009439,0.0009439
19,92.3063,0.44702,0.55364,0.91087,0.99942,1,0.995,0.93158,0.39131,0.60598,0.6735,0.0009406,0.0009406,0.0009406
20,97.0864,0.46612,0.54232,0.90883,0.99923,1,0.995,0.91284,0.45644,0.60598,0.68273,0.0009373,0.0009373,0.0009373
21,101.847,0.4525,0.53825,0.91592,0.99916,1,0.995,0.92429,0.39223,0.56231,0.67321,0.000934,0.000934,0.000934
22,106.59,0.46209,0.51975,0.91312,0.99898,1,0.995,0.91538,0.44665,0.57725,0.68359,0.0009307,0.0009307,0.0009307
23,111.342,0.43975,0.52412,0.90177,0.99913,1,0.995,0.89539,0.51206,0.57984,0.69994,0.0009274,0.0009274,0.0009274
24,116.12,0.44411,0.52506,0.91156,0.99905,1,0.995,0.92556,0.38343,0.54121,0.66515,0.0009241,0.0009241,0.0009241
25,120.876,0.44698,0.50962,0.90802,0.99934,1,0.995,0.93031,0.37855,0.53548,0.66684,0.0009208,0.0009208,0.0009208
26,125.65,0.4174,0.50199,0.89989,0.99934,1,0.995,0.92584,0.39004,0.52003,0.66661,0.0009175,0.0009175,0.0009175
27,130.411,0.41615,0.49855,0.89632,0.99929,1,0.995,0.93047,0.36037,0.50367,0.65932,0.0009142,0.0009142,0.0009142
28,135.232,0.41971,0.48405,0.8952,0.99898,1,0.995,0.92043,0.40593,0.5048,0.66898,0.0009109,0.0009109,0.0009109
29,140.005,0.43581,0.48722,0.89439,0.999,1,0.995,0.92851,0.36834,0.49588,0.66134,0.0009076,0.0009076,0.0009076
30,144.791,0.41807,0.47338,0.89525,0.99911,1,0.995,0.92283,0.39106,0.49387,0.66231,0.0009043,0.0009043,0.0009043
31,149.542,0.39481,0.47876,0.88883,0.99917,1,0.995,0.91397,0.42034,0.49256,0.67172,0.000901,0.000901,0.000901
32,154.3,0.40603,0.46653,0.89685,0.99884,1,0.995,0.9165,0.41352,0.49727,0.67246,0.0008977,0.0008977,0.0008977
33,159.035,0.40049,0.46239,0.88771,0.99891,1,0.995,0.93355,0.37947,0.48547,0.6663,0.0008944,0.0008944,0.0008944
34,163.792,0.41902,0.46275,0.90671,0.99891,1,0.995,0.92983,0.38607,0.47612,0.67505,0.0008911,0.0008911,0.0008911
35,168.618,0.4068,0.45414,0.89761,0.99186,1,0.99485,0.92635,0.41643,0.4827,0.67242,0.0008878,0.0008878,0.0008878
36,173.538,0.40348,0.45089,0.88937,0.99541,1,0.995,0.92977,0.39792,0.49166,0.66809,0.0008845,0.0008845,0.0008845
37,178.334,0.41834,0.44614,0.90488,0.99556,1,0.995,0.93575,0.37293,0.5036,0.66376,0.0008812,0.0008812,0.0008812
38,183.306,0.37903,0.443,0.87987,0.99801,1,0.995,0.92502,0.41049,0.454,0.66343,0.0008779,0.0008779,0.0008779
39,188.244,0.38376,0.4363,0.89182,0.99814,1,0.995,0.93043,0.36757,0.44097,0.6585,0.0008746,0.0008746,0.0008746
40,193.166,0.395,0.43879,0.89317,0.99868,1,0.995,0.94717,0.3168,0.42783,0.65333,0.0008713,0.0008713,0.0008713
41,198.008,0.38487,0.44594,0.89305,0.99915,1,0.995,0.9536,0.31119,0.44893,0.65568,0.000868,0.000868,0.000868
42,202.803,0.3905,0.42813,0.89149,0.99895,1,0.995,0.93615,0.35264,0.46052,0.65525,0.0008647,0.0008647,0.0008647
43,207.568,0.38401,0.41969,0.8926,0.99937,1,0.995,0.94153,0.3406,0.42188,0.65695,0.0008614,0.0008614,0.0008614
44,212.372,0.39298,0.4295,0.88325,0.99921,1,0.995,0.94229,0.32336,0.41239,0.64712,0.0008581,0.0008581,0.0008581
45,217.258,0.37616,0.42326,0.8963,0.99914,1,0.995,0.93456,0.3494,0.41983,0.6521,0.0008548,0.0008548,0.0008548
46,222.067,0.38405,0.42033,0.88515,0.99866,1,0.995,0.93405,0.35014,0.43423,0.65224,0.0008515,0.0008515,0.0008515
47,226.894,0.38663,0.41661,0.88699,0.99767,1,0.995,0.94922,0.31935,0.41431,0.65107,0.0008482,0.0008482,0.0008482
48,231.726,0.38865,0.42419,0.89626,0.99766,1,0.995,0.94296,0.34211,0.41435,0.65715,0.0008449,0.0008449,0.0008449
49,236.533,0.36722,0.39891,0.88833,0.99794,1,0.995,0.95334,0.30301,0.39945,0.6457,0.0008416,0.0008416,0.0008416
50,241.346,0.3755,0.40758,0.88795,0.99851,1,0.995,0.95948,0.28573,0.39986,0.64247,0.0008383,0.0008383,0.0008383
51,246.196,0.37877,0.41047,0.89175,0.99841,1,0.995,0.9569,0.27376,0.41002,0.64134,0.000835,0.000835,0.000835
52,251.069,0.37479,0.3952,0.88313,0.99861,1,0.995,0.95375,0.30214,0.4095,0.6435,0.0008317,0.0008317,0.0008317
53,255.927,0.36836,0.39533,0.88574,0.99238,1,0.995,0.94789,0.32027,0.40998,0.64932,0.0008284,0.0008284,0.0008284
54,260.704,0.39216,0.3943,0.89123,0.99174,1,0.9947,0.95263,0.29476,0.39869,0.64451,0.0008251,0.0008251,0.0008251
55,265.503,0.35881,0.40027,0.89098,0.9918,1,0.99263,0.94252,0.33358,0.40915,0.65081,0.0008218,0.0008218,0.0008218
56,270.39,0.3549,0.39545,0.89567,0.99162,1,0.99374,0.95021,0.30143,0.38959,0.6446,0.0008185,0.0008185,0.0008185
